compound_id	PDB_ID	label
126565	5UI0	6.18039
156414	6RSU	5.0
5328940	2A2A	5.0
126565	3A7I	6.11913
9926791	4ASZ	5.0
11656518	6JQR	5.0
208908	5MYV	5.0
11717001	2HAK	5.0
176870	3G2F	5.0
10113978	4PF4	5.0
3038522	3A7I	5.0
11338033	4UAK	5.0
9915743	2XYN	5.0
16722836	3A7I	5.0
10184653	5LVO	5.0
3025986	5ORL	5.13076
24889392	2W99	5.0
9809715	2HAK	5.85384
44259	3A99	8.48149
5291	6CZ3	5.0
208908	4ITI	5.0
5494449	3DAK	5.0
3025986	3ZDU	5.85384
11717001	5JZN	5.0
11667893	2J0I	5.0
4908365	6RCG	5.0
11656518	6TCA	5.0
3081361	5ORL	5.0
11409972	4UXL	5.76953
123631	5V5Y	5.0
126565	3BU3	5.95857
9809715	5EFQ	5.0
11338033	5I3R	5.0
10074640	5ORL	5.0
11234052	3IEC	5.0
156422	2OO8	7.6968
11617559	3ZFM	5.0
11314340	5E8X	5.0
4908365	1UA2	5.0
123631	6JQR	5.29242
176870	2XIK	5.0
11234052	4BGQ	5.0
11409972	2X4F	5.0
10127622	6FYR	5.0
16007391	3C0I	5.0
3081361	6P5S	5.0
10113978	5MJB	5.0
11485656	6RSU	5.0
3038522	3HNG	5.50862
176155	2V7O	5.0
11234052	3FXX	5.0
3081361	2V7O	5.0
11338033	2Y7J	5.0
156414	4FGB	5.0
9884685	2DQ7	5.0
156422	2BUJ	5.0
9884685	2REI	5.0
11314340	3A99	6.74449
11409972	3ENM	5.0
17755052	6N3O	5.0
11617559	6NCG	5.0
3025986	1UA2	7.50724
216239	3IEC	5.0
151194	3IEC	5.0
3062316	1CM8	5.0
11409972	3FXZ	5.0
3081361	5VIL	5.0
17755052	6FYV	5.82388
11626560	4WNO	5.99996
5329102	6FT8	7.65561
9884685	6BG2	5.0
10461815	4K33	5.0
24180719	2REI	5.0
10113978	6GZD	5.0
9929127	3BHH	5.0
11617559	5H0B	5.0
10427712	5A6N	5.0
10427712	5LXC	5.2518
11364421	4WNO	5.0
151194	4D2W	5.0
9933475	4YJT	5.0
3038522	2DQ7	5.0
9884685	3G2F	5.0
156414	2NRU	5.92078
156422	5LXC	5.0
176155	6YAT	5.0
9884685	6D3K	5.0
6918454	4YNO	5.0
153999	4OR5	5.0
11617559	2Y7J	5.0
11485656	6FYR	5.0
16722836	2J51	6.16743
24779724	4IVA	5.0
9915743	3HNG	5.0
151194	2I1M	7.34582
3062316	2YEX	5.0
10427712	5MJB	5.0
11427553	1J1B	5.0
4908365	4ANB	6.69875
3038522	6MOB	5.95857
24889392	6QAV	5.0
9926791	2BUJ	5.0
156414	4ANB	5.7447
3025986	4WB8	5.0
151194	6FEK	5.0
10074640	4YJT	5.0
11409972	3RNY	5.0
11656518	3ENM	5.0
176155	4UXL	5.0
123631	2A2A	5.0
447077	6ZJF	5.0
9809715	5L6P	5.0
10127622	6MOB	5.0
5291	6FD3	5.0
5329102	4IVA	6.38711
216239	4RFM	5.0
151194	5MYV	5.0
644241	3O0G	5.0
216239	6CD6	5.0
9926791	3PLS	5.0
10184653	3V8S	5.0
156422	5LWM	5.0
123631	3MY0	5.0
5291	6RSU	5.0
10113978	3O0G	5.0
11427553	2CCH	5.0
16725726	4K33	5.0
16722836	5U6C	6.08613
156422	2XYN	5.88602
151194	3QRJ	5.0
4908365	4BBM	5.0
11364421	6P5M	5.0
3062316	5LWM	6.19375
24889392	6BFN	5.0
123631	6CD6	5.0
11314340	6FEK	5.0
208908	4RFM	5.0
151194	4AGU	5.0
16007391	5QIN	5.0
9915743	5LXC	5.0
9929127	6GRO	5.0
153999	3BU3	5.0
3081361	4ZZN	5.0
25243800	2R2P	5.50862
11338033	5L6P	5.0
3025986	3WAR	5.0
11485656	3TXO	5.0
16007391	2REI	5.0
10127622	1UA2	5.0
5328940	5U6B	7.28316
11409972	2XIK	5.92078
176870	6BDN	5.0
16007391	6CZ3	5.0
644241	4HOK	5.0
10138260	4D2W	6.46839
5494449	4QTB	5.0
153999	6GZD	5.0
24180719	1UA2	5.0
3025986	5CEQ	5.0
10113978	5HID	6.13662
11485656	6B5J	5.0
153999	3A8X	5.85384
24889392	3SXS	5.0
10184653	4ANB	5.0
25243800	3ALO	6.09146
5329102	4LGD	7.25104
216239	3FE3	5.0
16007391	4H1J	5.0
9926791	2R2P	5.0
216239	6S73	5.0
5494449	2XYN	8.38722
10074640	3ZFM	5.0
10184653	5BYZ	5.0
176870	2J51	7.58336
176155	6ZJF	5.0
17755052	2I1M	5.0
10427712	2W4O	5.0
208908	6Y0A	5.0
4908365	6CMJ	5.0
10427712	5YKS	5.0
11626560	2QLU	5.0
3038525	3V8S	5.0
10427712	6YZ4	5.0
4908365	3CBL	5.95857
11427553	3ZFM	5.0
11667893	4BBM	5.0
123631	3ZDU	5.0
25243800	1J1B	5.0
24779724	4C57	5.0
11364421	4YHJ	5.0
10184653	5NKG	5.0
176167	3ALO	5.0
10138260	6MOB	6.46839
11667893	2X4F	5.0
24889392	4W4V	5.0
3038522	3CBL	5.0
6918454	4FGB	5.0
16722836	6A32	5.56862
25243800	3QRJ	5.0
5494449	4YNO	5.0
644241	6BG2	5.0
16722836	5LVO	5.0
11485656	1UA2	5.53759
16725726	6RA7	5.0
9933475	3TXO	5.0
25243800	6CMJ	5.4202
9809715	4GV1	5.0
11617559	2I1M	8.63827
9926791	4ZZN	5.0
24889392	5E8X	5.0
11485656	4UAK	5.0
9926791	5LWM	9.58503
16007391	5H0B	5.40892
11427553	6S73	6.67757
24180719	2CMW	5.0
24889392	5V5Y	5.0
5494449	6QAV	5.0
176870	6S73	5.0
25243800	6GR8	5.0
216239	5HID	6.26753
9933475	2R4B	5.85384
10184653	3W2P	8.92082
156414	5EFQ	5.0
24889392	4CRS	5.0
25243800	6D3K	5.65756
9915743	5U6B	6.72102
11667893	3ENM	5.0
3038522	5VDK	5.0
4908365	1QPC	6.74449
5329102	6RUU	6.02683
24889392	6CMJ	5.0
11338033	4MQ1	6.92046
10074640	5HVK	5.0
176167	4ASZ	5.0
153999	6RA7	5.0
24889392	2VD5	5.0
42642645	7B36	5.0
156422	4FR4	5.0
11656518	6Y0A	5.0
6450551	2R2P	5.0
16722836	3FXX	5.14874
644241	5LXC	5.0
644241	3V8S	5.0
3081361	5NG0	8.3279
11667893	5JZN	5.0
5287969	4WSQ	5.27572
5291	3DKC	5.0
9933475	4YNO	5.0
176870	3W2P	6.72102
9809715	4UXL	5.43179
16007391	2EVA	6.18702
3038525	4GV1	5.0
9884685	3A8X	5.0
11656518	5U6B	5.0
10074640	4IVA	5.0
123631	3D7U	5.0
11427553	6NCG	5.0
5329102	4YNO	5.0
24180719	4MQ1	5.0
24180719	6S73	5.0
44259	1CM8	7.37572
11617559	1J1B	5.0
216239	5NG0	5.88602
9809715	5BYZ	5.60204
5291	2J0I	5.0
156414	4BGQ	5.0
11409972	5MYV	5.0
10138260	4JG8	5.67776
3038522	1CM8	5.0
11338033	4GU6	5.0
11617559	2J51	5.0
11656518	6FYV	5.0
6918454	2JAM	5.0
10427712	4WSQ	6.06043
11314340	6RA7	6.85356
10461815	3QRJ	5.0
11314340	4YHJ	5.85384
11427553	2IWI	5.0
151194	4EWH	5.0
16007391	6T6F	5.0
156414	5YKS	5.0
11234052	1S9I	5.0
126565	5LXC	7.65561
151194	6SRH	5.0
153999	4ITI	5.0
44259	3IEC	9.09691
9915743	6CD6	5.0
24779724	4RFM	5.0
9933475	6JQR	5.0
6450551	2RKU	5.0
17755052	2C47	5.0
9929127	4ANB	5.0
11364421	4BBM	5.0
153999	2WEL	5.33723
5287969	6P5M	5.82388
447077	3W2P	5.0
42642645	6GRO	5.0
3038525	5HVK	5.0
10461815	4RWI	5.0
5291	6P5M	5.0
9809715	3A7I	6.95821
3081361	5NKG	5.95857
447077	2HW6	5.0
42642645	6BG2	5.0
3081361	4OR5	5.0
644241	5O0Y	5.0
216239	3OMV	6.63808
17755052	6P5S	6.28391
11338033	2W4O	5.0
11364421	2XIK	5.0
16722836	1WAK	6.79561
24180719	6QAV	5.0
151194	3A7I	5.0
16722836	2YEX	5.4202
644241	4YNO	5.0
5494449	4W4V	5.55283
24889392	2W5A	5.0
9884685	5LVO	5.0
123631	4WNO	5.0
6450551	5LWM	5.50862
9929127	3KN6	5.0
11656518	2I1M	6.60189
16722836	6RSU	7.03574
44259	6SRH	6.32781
9915743	2HAK	5.0
5287969	5V5Y	5.0
176870	5QIN	5.0
11617559	1XJD	5.0
156422	6OP9	5.0
11364421	6FEK	5.0
156422	2W5A	5.0
11338033	6GZD	5.0
10427712	4OTH	5.0
11717001	6FEK	5.0
216239	4ZHX	5.0
5494449	6JUU	5.55283
11712649	4GV1	5.0
24180719	4RFM	5.0
9933475	1XJD	5.0
176167	1O6L	5.0
11364421	2QLU	5.0
5287969	5UI0	5.0
11364421	3WAR	5.0
176167	3RNY	5.0
42642645	5LWM	5.0
123631	3BHH	5.0
11717001	2ZM3	5.0
11485656	3DAK	5.0
5287969	3WAR	5.0
24779724	4WSQ	5.0
11234052	5AP1	5.0
42642645	3ZDU	5.35654
10184653	7B36	5.0
9926791	4CRS	5.92078
16038120	4EQU	7.08566
123631	1UA2	6.2146
11427553	6BG2	5.60204
10127622	3FE3	5.0
10461815	6KZD	6.03147
11314340	6MOB	5.0
151194	2OO8	5.0
11656518	4EQU	7.22113
51004351	4RWI	5.79585
11234052	4UAK	5.0
9933475	1CM8	5.0
11409972	4ITI	6.67757
10127622	3ALO	5.0
3062316	6ZR5	5.0
126565	4W4V	7.91721
176870	4TPT	5.0
16038120	3TXO	5.0
176155	4CRS	5.0
5287969	2I1M	5.55283
176167	4ZZN	5.0
10427712	4YNO	5.0
151194	5HVK	5.0
5329102	6CZ3	5.33723
3025986	2ZM3	5.0
176167	3V8S	5.0
6450551	2I1M	7.67572
16038120	6N3O	5.95857
151194	2WTK	5.0
17755052	4AGU	5.0
4908365	4GV1	5.0
5287969	5YKS	5.0
3081361	6BXI	5.0
11427553	3TXO	5.0
10113978	3S3I	5.0
11712649	6QAV	5.0
11617559	4MQ1	5.0
24889392	6FYR	5.0
6450551	3FXZ	5.0
10138260	2HAK	5.82388
9884685	4WB8	5.0
9809715	5VIL	5.0
9915743	5LWM	5.69895
3038522	3PP0	5.0
11338033	2J0I	5.0
10074640	3KUL	5.7447
10184653	5EFQ	5.0
11427553	4KS7	5.88602
42642645	6FYL	5.0
5329102	5MYV	6.72102
42642645	2IWI	5.0
16007391	5ES1	5.0
176167	4K33	5.0
10127622	3V8S	5.0
42642645	4BBM	6.61961
644241	5JZN	5.0
151194	3OMV	5.0
9926791	3BU3	5.0
176870	6FEK	5.0
6918454	6GR8	5.7447
216239	4ANB	5.0
11617559	2XYN	5.0
9933475	4EWH	5.0
447077	7KAC	6.67757
176870	3MY0	5.0
10184653	4UAK	5.0
176155	3LCS	5.0
51004351	2RKU	5.0
5329102	5VDK	5.0
11712649	1WAK	5.0
42642645	4EQU	9.20066
5291	1QPC	7.39686
176155	3DAK	5.0
3081361	2JAM	5.0
16722836	6CMJ	5.39793
10427712	4WB8	5.0
176155	4YJT	5.0
9933475	6CMJ	5.0
11409972	2JAM	5.0
10074640	4ZZN	5.0
11338033	5O0Y	5.0
11364421	6ZJF	5.0
153999	6GQQ	5.0
16007391	3ENM	5.0
3081361	4C57	7.065
3038522	2NRU	5.0
42642645	4WB8	5.0
126565	3KN6	6.01768
51004351	6T6F	6.17386
176870	4BBM	5.0
644241	4FR4	5.0
176870	6JUU	5.0
5494449	6JPJ	5.14266
10138260	5HID	5.0
126565	6PK6	6.25956
42642645	6CD6	6.25956
123631	6FYL	5.0
11617559	6YZ4	5.0
447077	6FYV	5.0
10427712	1WAK	5.28399
11427553	6FDY	6.92046
3038525	5BYZ	5.0
11234052	6C9H	5.0
216239	5LVO	5.0
176167	3QRJ	5.0
176155	2HAK	5.0
6918454	6BFN	5.0
10184653	2V7O	5.0
42642645	6CMJ	5.35654
3038522	3DAK	5.0
216239	6PK6	5.0
3025986	2R4B	5.0
151194	3V8S	5.0
176870	3FXX	5.61977
11712649	6GQQ	5.0
24180719	4L3L	5.0
11656518	2OO8	5.88602
9933475	4MQ1	5.0
11234052	3O0G	5.0
208908	2VD5	5.0
25243800	5V5Y	5.0
11427553	2RKU	5.0
9926791	3A8X	5.0
151194	2W99	5.0
153999	3G2F	5.0
156422	6MOB	5.0
10138260	6BFN	7.58336
9809715	4ZZN	5.0
6450551	3LCS	5.0
123631	4EWH	5.0
176870	4L3L	5.0
10113978	6JQR	5.01772
11717001	6DBK	5.0
3081361	6TCA	5.0
5329102	3A99	5.0
10461815	4LGD	5.72122
156422	5J5T	5.0
644241	6A32	6.74449
24779724	3BU3	5.0
17755052	3S3I	5.0
11409972	5ES1	5.0
126565	4IVA	8.42022
6918454	6JQR	5.0
6918454	1S9I	6.43168
9809715	4ANB	7.99568
24889392	5I3R	5.0
11717001	3C0I	5.0
3038525	4WSQ	5.0
42642645	2REI	8.58503
16722836	5ES1	6.01318
10184653	4I5P	5.0
11617559	4K33	5.0
10138260	4UY9	5.58501
10461815	4YHJ	6.37665
10461815	5MJB	5.0
6450551	2BUJ	6.43168
176167	2WEL	5.55283
10074640	6BFN	5.0
11656518	2XYN	5.72122
11626560	2RKU	5.0
9915743	6D3K	5.0
11626560	6B5J	6.95821
24779724	4A9U	5.0
10427712	3KUL	5.0
176155	6A32	5.0
11314340	1U59	5.0
644241	2Y7J	5.0
11717001	4W4V	5.60204
5287969	3V8S	5.92078
16007391	2QLU	5.0
9926791	7B36	5.0
151194	5LWM	5.0
10427712	3E7O	5.0
3062316	4K33	5.0
11314340	2NRU	5.60204
9884685	5U6C	5.0
6450551	5CEQ	5.76953
126565	5HID	5.0
11314340	5VIL	5.0
44259	4AGU	6.48135
9809715	2W99	6.14261
10074640	1XJD	5.0
208908	2REI	5.0
9929127	4MQ1	5.67776
153999	6Y0A	5.0
10113978	3SOC	5.0
17755052	4RWI	5.0
5287969	6FEK	5.0
123631	3DKC	5.0
11364421	6SRH	5.0
11617559	3OMV	5.0
11712649	3MY0	5.0
5291	3ZFM	5.0
11234052	6N3O	5.0
176167	5EFQ	5.0
42642645	6S73	5.0
6450551	4WNO	5.0
11485656	5A6N	5.0
5494449	6RA7	5.7447
10184653	5U6C	5.0
10113978	6URC	5.0
176155	3S3I	7.91721
11667893	6FYV	5.0
644241	6YAT	5.0
17755052	4YHJ	5.0
216239	3S3I	6.43168
5291	2WEL	5.0
11617559	4UAK	5.0
4908365	7KAC	6.43168
10074640	2REI	5.0
3062316	6SM8	5.0
9809715	2CCH	5.85384
9929127	2F57	5.0
10113978	6D3K	5.72122
51004351	7B36	5.0
10127622	7B36	5.0
9809715	6BXI	5.0
11234052	2HW6	5.0
11667893	5H0B	5.0655
11314340	3IEC	5.0
11656518	2X4F	5.0
156414	2WEL	5.0
9884685	4GU6	5.0
447077	2WTK	5.0
5329102	3D7U	5.0
156422	4OR5	5.0
11485656	2C47	5.0
11667893	6URC	5.0
24180719	2DQ7	5.63825
11656518	4HOK	5.0
24180719	4GU6	5.0
176167	1CM8	5.0
447077	5VDK	7.24336
24180719	3WAR	5.0
5494449	4GV1	5.0
176155	6BXI	5.0
5329102	2V7O	6.16109
176870	5LVO	5.0
17755052	6FT8	5.95857
123631	4CRS	5.0
16007391	5LXC	5.0
16007391	6BDN	5.0
16725726	4MQ1	5.0
9884685	6X5G	5.0
11427553	3MDY	6.92046
5494449	3TXO	5.0
11427553	4AGU	5.0
3081361	6SM8	5.0
11626560	6BG2	5.0
3038522	3IEC	5.0
42642645	4PF4	5.0
11626560	1U59	5.37674
10138260	4OTH	5.72122
11717001	4I5P	5.0
11427553	6D3K	5.44369
9926791	4BGQ	5.0
3038525	6FD3	5.0
3062316	6BDN	5.63825
24779724	3SOC	5.0
151194	6B5J	5.0
11667893	3IEC	5.0
126565	3COK	8.79588
11364421	3G2F	5.0
4908365	4LGD	6.79561
5329102	2VD5	5.0
208908	4YHJ	5.0
10074640	2DQ7	6.85356
16722836	2A2A	7.53611
176155	2J51	5.43179
5328940	3MY0	5.0
3038522	6CMJ	5.0
11617559	6FEK	5.0
6918454	5NG0	5.0
6918454	7B36	5.0
11427553	3QRJ	5.79585
9929127	6X5G	5.0
176167	6YKY	5.0
5329102	3ZFM	5.0
126565	6T6F	7.32698
5291	6GRO	5.0
11234052	2JAM	5.0
25243800	3FXZ	5.0
5291	2W5A	5.0
123631	6CMJ	5.0
11712649	6CD6	5.0
216239	1XJD	5.0
156422	2J51	6.82362
11626560	4FGB	5.0
644241	6CMJ	5.0
9809715	6JQR	7.767
126565	3MDY	7.24336
3081361	2XYN	7.16052
126565	6TGU	6.01318
42642645	3C0I	5.0
11409972	5E8X	5.0
10427712	4D2W	5.0
5329102	3S3I	5.0
5291	1O6L	5.0
11485656	1WAK	5.0
3025986	2IWI	5.0
126565	2VD5	6.61961
5494449	5ORL	8.39794
11667893	2OO8	5.0
153999	5I3R	6.36643
4908365	3FXX	5.79585
5329102	3KN6	5.76953
5287969	6RUU	5.0
16725726	3A7I	5.0
3081361	3PP0	5.58501
11717001	4TPT	5.0
11364421	5J5T	5.0
126565	4GU6	5.95857
156422	3DKC	5.0
51004351	3ZDU	5.0
9929127	4JG8	5.0
9884685	6YZ4	5.0
123631	5J5T	5.0
208908	4ZZN	5.0
11427553	6DBK	6.28391
208908	5NKG	5.0
5291	1Y57	5.0
126565	6X5G	7.99568
3038525	2HW6	5.0
11409972	5ORL	5.0
9915743	3PLS	5.07572
447077	3ZFM	7.71897
123631	4H1J	5.0
5328940	3BU3	5.0
151194	4UXL	5.0
11656518	5ES1	5.0
208908	3ALO	5.0
4908365	6TCA	5.0
151194	6S73	5.0
11427553	4GV1	5.0
16007391	3E7O	5.0
10184653	3G2F	5.0
11364421	2ZM3	5.0
447077	3DKC	5.95857
11314340	5HID	5.0
11338033	6P5S	5.0
11717001	3ALO	5.0
9884685	5LXC	5.38721
11626560	4ZZN	5.0
11338033	5HVK	5.0
5329102	3WAR	6.04571
156422	6P5M	5.0
10427712	3PP0	6.35645
3038522	6GZD	5.0
11364421	6FYR	6.20059
24779724	6C9H	5.0
11667893	4C57	5.0
11626560	1Y57	6.25173
11617559	4B6L	5.0
24180719	6SRH	5.0
3038525	6GZD	5.0
11667893	3C0I	5.0
447077	4AGU	5.0
644241	4UY9	5.0
11485656	1Y57	5.0
11338033	6CD6	5.0
3038525	6BDN	5.0
24889392	6JPJ	5.0
17755052	7KAC	5.0
5287969	4MQ1	7.11295
3081361	2J0I	5.0
16007391	4MQ1	5.0
11485656	4YHJ	5.0
11338033	4WB8	5.0
11617559	6JQR	5.0
24180719	6GRO	5.0
3038525	3BHH	5.0
16007391	5HVK	5.0
9809715	6X5G	5.44369
3025986	3FXZ	5.0
123631	6A32	5.0
9933475	5L6P	5.0
17755052	6A32	5.0
25243800	7B36	5.43179
11338033	3IEC	5.0
16725726	4YHJ	5.0
16722836	3RNY	5.1135
10138260	2XYN	5.0
216239	6FIO	8.79588
9933475	4WSQ	5.0
16722836	2QLU	5.0
126565	4ITI	5.0
11314340	6GR8	5.07572
3025986	5I3R	5.0
9884685	4W4V	5.0
10427712	2ZM3	5.0
11667893	5U6B	5.0
11717001	3A8X	5.0
9933475	5EFQ	5.0
156414	6CD6	5.0
9926791	5VDK	5.0
6918454	4HOK	5.0
5287969	5AP1	5.0
9929127	1Y57	5.0
16722836	6OP9	5.0
5291	5LXC	5.0
153999	2ZM3	5.0
16725726	3S3I	5.0
10074640	4H1J	5.0
176870	3SOC	5.0
3038522	2ZM3	5.0
6918454	6P5S	5.0
216239	5V5Y	5.0
9915743	3BU3	5.52286
176155	5LXC	5.0
11712649	6FER	5.0
9933475	4K33	7.45469
5328940	3W2P	6.40882
11485656	4WB8	5.16114
10127622	3BHH	5.0
176155	4D2W	5.0
11409972	6JPJ	5.85384
10113978	4MQ1	5.0
11626560	3FXX	6.15484
10113978	5H0B	5.24412
10138260	5YKS	5.82388
11717001	5HID	9.5376
156414	3COK	5.0
9926791	1J1B	5.0
24180719	3OMV	6.7693
4908365	5UI0	5.44369
11626560	4AGU	5.0
123631	3C0I	5.0
10427712	5E8X	5.0
11656518	5I3R	5.0
3038522	4UXL	5.0
176167	1XJD	7.44249
123631	4YJT	5.0
4908365	5QIN	5.69895
11234052	6NCG	5.0
11617559	4KIK	5.0
16725726	6GQQ	5.0
4908365	2W4O	5.0
24180719	6ZJF	5.0
24779724	1QPC	5.0
4908365	2DQ7	6.46839
11314340	5LXC	7.19997
5328940	6T6F	6.25956
156414	5I3R	5.4202
3025986	4C57	5.7447
44259	4YJT	7.85078
176167	3E7O	5.0
11656518	6JUU	7.19997
176870	3OMV	5.0
16038120	3V8S	7.43063
11364421	4MQ1	5.0
24779724	2WTK	5.0
24779724	6D3K	5.0
11427553	4B6L	5.0
10184653	3ZDU	5.0
11485656	6FYL	5.0
10427712	5I3R	6.19375
11717001	4EWH	5.0
24889392	3MDY	5.0
6918454	6BXI	5.0
42642645	4KS7	5.0
153999	4YNO	5.0
9884685	6YAT	5.0
16038120	4C57	8.26761
216239	3MDY	5.0
9809715	6SM8	5.60204
5291	4ASZ	5.0
208908	6T6F	5.0
9929127	6BG2	5.0
176167	4A9U	5.0
644241	6B5J	6.44358
16725726	5JZN	5.61977
24889392	5O0Y	5.0
11364421	3FXX	5.0
126565	3FE3	7.30892
9929127	5AP1	5.0
3062316	6P5M	5.0
11485656	2J51	6.34669
11667893	6BXI	5.0
4908365	6YAT	7.31785
447077	4B9D	5.08092
11717001	2WEL	5.0
123631	4BGQ	5.0
216239	6FYL	5.0
11626560	4K33	5.45592
16722836	3A99	5.0
153999	3MDY	5.0
9926791	4JG8	5.0
11338033	4BGQ	8.56864
24889392	6PK6	5.0
5291	4AGU	5.0
447077	5I3R	5.0
11667893	4WSQ	5.0
126565	2JAM	6.32781
208908	3KUL	5.0
9809715	2HW6	5.0
10427712	2JAM	5.0
9809715	6TCA	5.0
11314340	4RFM	5.0
5329102	5NKG	5.0
10184653	5J5T	5.0
176870	5EFQ	5.0
11409972	6TCA	5.0
16722836	4OR5	5.05551
42642645	4W4V	5.40892
16038120	4ITI	5.0
151194	3TXO	5.0
644241	3TXO	5.0
153999	6KZD	5.0
11427553	4CRS	6.05547
5287969	3COK	5.07572
11617559	6PK6	5.0
3025986	6JPJ	5.0
644241	3A99	5.0
11364421	2IWI	5.0
3062316	5H0B	9.34679
216239	2XYN	5.53759
3081361	3ZDU	5.0
11712649	3IEC	5.0
11409972	4UAK	5.0
3081361	5U6B	6.60189
151194	1UA2	5.0
9933475	1UA2	5.0
5291	4ANB	5.0
123631	4ASZ	5.0
11234052	4AGU	5.0
3062316	6RUU	5.0
644241	6TCA	5.0
24889392	6GQQ	7.05998
17755052	6S73	5.0
3062316	2RKU	5.0
151194	2W4O	5.0
24779724	5H0B	5.0
10427712	4AGU	5.0
9926791	6A32	5.0
9915743	2X4F	5.0
216239	3WAR	5.0
151194	6CZ3	5.61977
16725726	5J5T	5.0
10138260	4GV1	5.0
9926791	3FXZ	5.0
9884685	5EFQ	5.0
153999	6FDY	5.0
3062316	6YAT	5.4202
9929127	2IWI	5.0
10074640	6ZJF	5.0
644241	4TPT	5.0
9933475	2CCH	5.0
5291	3GC8	5.0
11712649	7B36	5.0
24779724	3ZDU	5.0
176167	4B6L	5.0
10113978	3C0I	5.0
11409972	2CCH	6.34669
16007391	1UA2	5.2076
24180719	4HOK	5.0
9915743	3FE3	5.0
16038120	6TGU	5.01772
3038525	2J51	5.0
16725726	3OMV	5.0
5328940	3FXX	8.22915
9926791	4WNO	5.0
9884685	2JAM	5.0
3025986	2J0I	5.0
5329102	5JZN	6.43168
11364421	5U6C	5.50862
16725726	4C57	5.0
11656518	1Y57	5.95857
208908	3OMV	5.0
9809715	4KS7	5.0
16007391	3BHH	5.0
24180719	4B9D	5.0
9929127	3OMV	5.0
10427712	6GR8	5.0
3062316	6YKY	5.0
11712649	2Y7J	5.0
16007391	4GV1	5.0
16007391	5L6P	5.0
11485656	5E8X	5.0
10461815	3E7O	5.0
3062316	5ORL	5.03151
9809715	6MOB	6.5085
10074640	2VD5	5.0
10184653	4BGQ	5.0
9809715	4ITI	6.61961
9933475	4WNO	5.0
9915743	6GZD	5.0
447077	4OR5	5.0
11427553	2NRU	6.16743
11234052	6GRO	5.0
6450551	1S9I	5.58501
126565	6S73	5.39793
11409972	6JQR	7.95468
10138260	4YJT	5.0
9884685	3ZFM	5.0
4908365	4KS7	5.2518
208908	4UXL	5.0
10074640	4ASZ	5.0
156422	6NCG	5.0
10074640	6YAT	5.0
3038522	6FER	6.92046
51004351	6FEK	6.45581
6918454	5AP1	5.0
126565	4QTB	5.00877
5494449	4OR5	5.0
153999	6X5G	5.34678
11338033	5NKG	5.0
10461815	4EWH	5.0
16038120	3BU3	8.60206
126565	4L3L	7.16052
216239	6FDY	5.0
24180719	6FYR	5.0
9929127	2VD5	5.0
10427712	3ENM	5.0
156414	6YAT	5.0
153999	6FYL	6.37665
11667893	3A7I	5.0
11427553	2DQ7	6.18039
176167	2F57	5.0
11717001	6BG2	5.0
5287969	5I3R	5.0
5287969	3W2P	5.39793
11485656	4KIK	5.0
9809715	6B5J	5.0
123631	4GU6	5.0
16007391	5NKG	5.0
16722836	6FD3	5.0
16725726	6FYL	6.13662
